business_name,fb_followers,fb_like_range_month_m,fb_comment_range_month_m,fb_like_range_month_m_1,fb_comment_range_month_m_1
Cafe Luna,1800.0,"(6.2, 4610.6]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Cafe Luna,1800.0,"(-0.001, 0.4]","(-0.001, 0.2]","(6.2, 4610.6]","(0.2, 110.2]"
Cafe Luna,1800.0,"(6.2, 4610.6]","(0.2, 110.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Cafe Luna,1800.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Cafe Luna,1800.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Moona,645.0,"(0.4, 6.2]","(-0.001, 0.2]","(0.4, 6.2]","(-0.001, 0.2]"
Moona,645.0,"(0.4, 6.2]","(-0.001, 0.2]","(0.4, 6.2]","(-0.001, 0.2]"
Moona,645.0,"(0.4, 6.2]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Moona,645.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Moona,645.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
4 Corners Pizza,1000.0,"(-0.001, 0.4]","(-0.001, 0.2]","(6.2, 4610.6]","(0.2, 110.2]"
4 Corners Pizza,1000.0,"(6.2, 4610.6]","(0.2, 110.2]","(0.4, 6.2]","(0.2, 110.2]"
4 Corners Pizza,1000.0,"(0.4, 6.2]","(0.2, 110.2]","(0.4, 6.2]","(-0.001, 0.2]"
4 Corners Pizza,1000.0,"(0.4, 6.2]","(-0.001, 0.2]","(0.4, 6.2]","(0.2, 110.2]"
4 Corners Pizza,1000.0,"(0.4, 6.2]","(0.2, 110.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Hunters,217.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Hunters,217.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Hunters,217.0,"(-0.001, 0.4]","(-0.001, 0.2]","(0.4, 6.2]","(-0.001, 0.2]"
Hunters,217.0,"(0.4, 6.2]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Hunters,217.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Ruka Resto Bar,924.0,"(0.4, 6.2]","(-0.001, 0.2]","(0.4, 6.2]","(-0.001, 0.2]"
Ruka Resto Bar,924.0,"(0.4, 6.2]","(-0.001, 0.2]","(0.4, 6.2]","(-0.001, 0.2]"
Ruka Resto Bar,924.0,"(0.4, 6.2]","(-0.001, 0.2]","(0.4, 6.2]","(-0.001, 0.2]"
Ruka Resto Bar,924.0,"(0.4, 6.2]","(-0.001, 0.2]","(0.4, 6.2]","(-0.001, 0.2]"
Ruka Resto Bar,924.0,"(0.4, 6.2]","(-0.001, 0.2]","(0.4, 6.2]","(-0.001, 0.2]"
Committee,5800.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Committee,5800.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Committee,5800.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Committee,5800.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Committee,5800.0,"(-0.001, 0.4]","(-0.001, 0.2]","(0.4, 6.2]","(-0.001, 0.2]"
Zuma,1500.0,"(0.4, 6.2]","(-0.001, 0.2]","(0.4, 6.2]","(-0.001, 0.2]"
Zuma,1500.0,"(0.4, 6.2]","(-0.001, 0.2]","(0.4, 6.2]","(-0.001, 0.2]"
Zuma,1500.0,"(0.4, 6.2]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Zuma,1500.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Zuma,1500.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Orleans Bar & Restaurant,9.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Orleans Bar & Restaurant,9.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Orleans Bar & Restaurant,9.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Orleans Bar & Restaurant,9.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Orleans Bar & Restaurant,9.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Nagomi Kenmore,80.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Nagomi Kenmore,80.0,"(-0.001, 0.4]","(-0.001, 0.2]","(0.4, 6.2]","(-0.001, 0.2]"
Nagomi Kenmore,80.0,"(0.4, 6.2]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Nagomi Kenmore,80.0,"(-0.001, 0.4]","(-0.001, 0.2]","(0.4, 6.2]","(-0.001, 0.2]"
Nagomi Kenmore,80.0,"(0.4, 6.2]","(-0.001, 0.2]","(0.4, 6.2]","(-0.001, 0.2]"
The Lexington,,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
The Lexington,,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
The Lexington,,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
The Lexington,,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
The Lexington,,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Bistro du Midi Boston,3300.0,"(-0.001, 0.4]","(-0.001, 0.2]","(0.4, 6.2]","(0.2, 110.2]"
Bistro du Midi Boston,3300.0,"(0.4, 6.2]","(0.2, 110.2]","(0.4, 6.2]","(0.2, 110.2]"
Bistro du Midi Boston,3300.0,"(0.4, 6.2]","(0.2, 110.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Bistro du Midi Boston,3300.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Bistro du Midi Boston,3300.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
LoLa 42,2600.0,"(0.4, 6.2]","(-0.001, 0.2]","(0.4, 6.2]","(-0.001, 0.2]"
LoLa 42,2600.0,"(0.4, 6.2]","(-0.001, 0.2]","(0.4, 6.2]","(-0.001, 0.2]"
LoLa 42,2600.0,"(0.4, 6.2]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
LoLa 42,2600.0,"(-0.001, 0.4]","(-0.001, 0.2]","(0.4, 6.2]","(-0.001, 0.2]"
LoLa 42,2600.0,"(0.4, 6.2]","(-0.001, 0.2]","(0.4, 6.2]","(-0.001, 0.2]"
No. 9 Park,,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
No. 9 Park,,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
No. 9 Park,,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
No. 9 Park,,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
No. 9 Park,,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Stella Cheeses,80000.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Stella Cheeses,80000.0,"(-0.001, 0.4]","(-0.001, 0.2]","(6.2, 4610.6]","(0.2, 110.2]"
Stella Cheeses,80000.0,"(6.2, 4610.6]","(0.2, 110.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Stella Cheeses,80000.0,"(-0.001, 0.4]","(-0.001, 0.2]","(0.4, 6.2]","(-0.001, 0.2]"
Stella Cheeses,80000.0,"(0.4, 6.2]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
Bar Vlaha,145.0,"(-0.001, 0.4]","(-0.001, 0.2]","(-0.001, 0.4]","(-0.001, 0.2]"
