business_name,insta_followers,insta_like_range_month_m,insta_view_range_month_m,insta_comment_range_month_m,insta_like_range_month_m_1,insta_comment_range_month_m_1,insta_view_range_month_m_1
Cafe Luna,3160.0,"(13.95, 67.2]","(-0.001, 2083.75]","(2.0, 7.0]","(-0.001, 13.95]","(-0.001, 2.0]","(-0.001, 2083.75]"
Cafe Luna,3160.0,"(-0.001, 13.95]","(-0.001, 2083.75]","(-0.001, 2.0]","(-0.001, 13.95]","(-0.001, 2.0]","(-0.001, 2083.75]"
Cafe Luna,3160.0,"(-0.001, 13.95]","(-0.001, 2083.75]","(-0.001, 2.0]","(-0.001, 13.95]","(-0.001, 2.0]","(-0.001, 2083.75]"
Cafe Luna,3160.0,"(-0.001, 13.95]","(-0.001, 2083.75]","(-0.001, 2.0]","(-0.001, 13.95]","(-0.001, 2.0]","(-0.001, 2083.75]"
Cafe Luna,3160.0,"(-0.001, 13.95]","(-0.001, 2083.75]","(-0.001, 2.0]","(-0.001, 13.95]","(-0.001, 2.0]","(-0.001, 2083.75]"
Moona,6882.0,"(13.95, 67.2]","(-0.001, 2083.75]","(-0.001, 2.0]","(13.95, 67.2]","(2.0, 7.0]","(-0.001, 2083.75]"
Moona,6882.0,"(13.95, 67.2]","(-0.001, 2083.75]","(2.0, 7.0]","(13.95, 67.2]","(-0.001, 2.0]","(-0.001, 2083.75]"
Moona,6882.0,"(13.95, 67.2]","(-0.001, 2083.75]","(-0.001, 2.0]","(13.95, 67.2]","(-0.001, 2.0]","(-0.001, 2083.75]"
Moona,6882.0,"(13.95, 67.2]","(-0.001, 2083.75]","(-0.001, 2.0]","(67.2, 181.1]","(2.0, 7.0]","(-0.001, 2083.75]"
Moona,6882.0,"(67.2, 181.1]","(-0.001, 2083.75]","(2.0, 7.0]","(13.95, 67.2]","(-0.001, 2.0]","(-0.001, 2083.75]"
4 Corners Pizza,27000.0,"(181.1, 7864.8]","(2083.75, 359000.0]","(7.0, 3329.0]","(181.1, 7864.8]","(7.0, 3329.0]","(2083.75, 359000.0]"
4 Corners Pizza,27000.0,"(181.1, 7864.8]","(2083.75, 359000.0]","(7.0, 3329.0]","(181.1, 7864.8]","(7.0, 3329.0]","(2083.75, 359000.0]"
4 Corners Pizza,27000.0,"(181.1, 7864.8]","(2083.75, 359000.0]","(7.0, 3329.0]","(181.1, 7864.8]","(7.0, 3329.0]","(2083.75, 359000.0]"
4 Corners Pizza,27000.0,"(181.1, 7864.8]","(2083.75, 359000.0]","(7.0, 3329.0]","(181.1, 7864.8]","(7.0, 3329.0]","(2083.75, 359000.0]"
4 Corners Pizza,27000.0,"(181.1, 7864.8]","(2083.75, 359000.0]","(7.0, 3329.0]","(181.1, 7864.8]","(7.0, 3329.0]","(2083.75, 359000.0]"
Hunters,21000.0,"(181.1, 7864.8]","(2083.75, 359000.0]","(2.0, 7.0]","(181.1, 7864.8]","(2.0, 7.0]","(2083.75, 359000.0]"
Hunters,21000.0,"(181.1, 7864.8]","(2083.75, 359000.0]","(2.0, 7.0]","(181.1, 7864.8]","(7.0, 3329.0]","(2083.75, 359000.0]"
Hunters,21000.0,"(181.1, 7864.8]","(2083.75, 359000.0]","(7.0, 3329.0]","(181.1, 7864.8]","(2.0, 7.0]","(-0.001, 2083.75]"
Hunters,21000.0,"(181.1, 7864.8]","(-0.001, 2083.75]","(2.0, 7.0]","(181.1, 7864.8]","(2.0, 7.0]","(2083.75, 359000.0]"
Hunters,21000.0,"(181.1, 7864.8]","(2083.75, 359000.0]","(2.0, 7.0]","(181.1, 7864.8]","(2.0, 7.0]","(2083.75, 359000.0]"
Ruka Resto Bar,12000.0,"(67.2, 181.1]","(2083.75, 359000.0]","(2.0, 7.0]","(67.2, 181.1]","(-0.001, 2.0]","(2083.75, 359000.0]"
Ruka Resto Bar,12000.0,"(67.2, 181.1]","(2083.75, 359000.0]","(-0.001, 2.0]","(67.2, 181.1]","(2.0, 7.0]","(2083.75, 359000.0]"
Ruka Resto Bar,12000.0,"(67.2, 181.1]","(2083.75, 359000.0]","(2.0, 7.0]","(67.2, 181.1]","(-0.001, 2.0]","(2083.75, 359000.0]"
Ruka Resto Bar,12000.0,"(67.2, 181.1]","(2083.75, 359000.0]","(-0.001, 2.0]","(67.2, 181.1]","(-0.001, 2.0]","(2083.75, 359000.0]"
Ruka Resto Bar,12000.0,"(67.2, 181.1]","(2083.75, 359000.0]","(-0.001, 2.0]","(67.2, 181.1]","(-0.001, 2.0]","(2083.75, 359000.0]"
Committee,15000.0,"(13.95, 67.2]","(-0.001, 2083.75]","(-0.001, 2.0]","(67.2, 181.1]","(-0.001, 2.0]","(-0.001, 2083.75]"
Committee,15000.0,"(67.2, 181.1]","(-0.001, 2083.75]","(-0.001, 2.0]","(67.2, 181.1]","(-0.001, 2.0]","(-0.001, 2083.75]"
Committee,15000.0,"(67.2, 181.1]","(-0.001, 2083.75]","(-0.001, 2.0]","(-0.001, 13.95]","(-0.001, 2.0]","(-0.001, 2083.75]"
Committee,15000.0,"(-0.001, 13.95]","(-0.001, 2083.75]","(-0.001, 2.0]","(-0.001, 13.95]","(-0.001, 2.0]","(-0.001, 2083.75]"
Committee,15000.0,"(-0.001, 13.95]","(-0.001, 2083.75]","(-0.001, 2.0]","(181.1, 7864.8]","(7.0, 3329.0]","(2083.75, 359000.0]"
Zuma,16000.0,"(67.2, 181.1]","(2083.75, 359000.0]","(2.0, 7.0]","(67.2, 181.1]","(-0.001, 2.0]","(2083.75, 359000.0]"
Zuma,16000.0,"(67.2, 181.1]","(2083.75, 359000.0]","(-0.001, 2.0]","(181.1, 7864.8]","(-0.001, 2.0]","(-0.001, 2083.75]"
Zuma,16000.0,"(181.1, 7864.8]","(-0.001, 2083.75]","(-0.001, 2.0]","(67.2, 181.1]","(2.0, 7.0]","(-0.001, 2083.75]"
Zuma,16000.0,"(67.2, 181.1]","(-0.001, 2083.75]","(2.0, 7.0]","(181.1, 7864.8]","(7.0, 3329.0]","(-0.001, 2083.75]"
Zuma,16000.0,"(181.1, 7864.8]","(-0.001, 2083.75]","(7.0, 3329.0]","(67.2, 181.1]","(2.0, 7.0]","(2083.75, 359000.0]"
Orleans Bar & Restaurant,1044.0,"(-0.001, 13.95]","(-0.001, 2083.75]","(-0.001, 2.0]","(13.95, 67.2]","(-0.001, 2.0]","(-0.001, 2083.75]"
