business_name,tiktok_followers,tiktok_likes,tiktok_like_range_month_m,tiktok_comment_range_month_m,tiktok_like_range_month_m_1,tiktok_comment_range_month_m_1
4 Corners Pizza,1651.0,37700.0,"(11.3, 47.312]","(0.688, 5562.6]","(-0.001, 11.3]","(-0.001, 0.688]"
4 Corners Pizza,1651.0,37700.0,"(-0.001, 11.3]","(-0.001, 0.688]","(11.3, 47.312]","(0.688, 5562.6]"
4 Corners Pizza,1651.0,37700.0,"(11.3, 47.312]","(0.688, 5562.6]","(47.312, 3329.6]","(0.688, 5562.6]"
4 Corners Pizza,1651.0,37700.0,"(47.312, 3329.6]","(0.688, 5562.6]","(-0.001, 11.3]","(-0.001, 0.688]"
4 Corners Pizza,1651.0,37700.0,"(-0.001, 11.3]","(-0.001, 0.688]","(47.312, 3329.6]","(0.688, 5562.6]"
Zuma,26600.0,611900.0,"(-0.001, 11.3]","(-0.001, 0.688]","(47.312, 3329.6]","(0.688, 5562.6]"
Zuma,26600.0,611900.0,"(47.312, 3329.6]","(0.688, 5562.6]","(47.312, 3329.6]","(0.688, 5562.6]"
Zuma,26600.0,611900.0,"(47.312, 3329.6]","(0.688, 5562.6]","(47.312, 3329.6]","(0.688, 5562.6]"
Zuma,26600.0,611900.0,"(47.312, 3329.6]","(0.688, 5562.6]","(47.312, 3329.6]","(0.688, 5562.6]"
Zuma,26600.0,611900.0,"(47.312, 3329.6]","(0.688, 5562.6]","(47.312, 3329.6]","(-0.001, 0.688]"
Stella Cheeses,23.0,287.0,"(-0.001, 11.3]","(-0.001, 0.688]","(-0.001, 11.3]","(-0.001, 0.688]"
Stella Cheeses,23.0,287.0,"(-0.001, 11.3]","(-0.001, 0.688]","(-0.001, 11.3]","(-0.001, 0.688]"
Stella Cheeses,23.0,287.0,"(-0.001, 11.3]","(-0.001, 0.688]","(11.3, 47.312]","(-0.001, 0.688]"
Stella Cheeses,23.0,287.0,"(11.3, 47.312]","(-0.001, 0.688]","(-0.001, 11.3]","(-0.001, 0.688]"
Stella Cheeses,23.0,287.0,"(-0.001, 11.3]","(-0.001, 0.688]","(47.312, 3329.6]","(-0.001, 0.688]"
Bar Vlaha,9.0,51.0,"(-0.001, 11.3]","(-0.001, 0.688]","(-0.001, 11.3]","(-0.001, 0.688]"
Bar Vlaha,9.0,51.0,"(-0.001, 11.3]","(-0.001, 0.688]","(11.3, 47.312]","(-0.001, 0.688]"
Bar Vlaha,9.0,51.0,"(11.3, 47.312]","(-0.001, 0.688]","(11.3, 47.312]","(-0.001, 0.688]"
Bar Vlaha,9.0,51.0,"(11.3, 47.312]","(-0.001, 0.688]","(-0.001, 11.3]","(-0.001, 0.688]"
Bar Vlaha,9.0,51.0,"(-0.001, 11.3]","(-0.001, 0.688]","(-0.001, 11.3]","(-0.001, 0.688]"
Levain Bakery,9241.0,83100.0,"(47.312, 3329.6]","(0.688, 5562.6]","(47.312, 3329.6]","(0.688, 5562.6]"
Levain Bakery,9241.0,83100.0,"(47.312, 3329.6]","(0.688, 5562.6]","(47.312, 3329.6]","(0.688, 5562.6]"
Levain Bakery,9241.0,83100.0,"(47.312, 3329.6]","(0.688, 5562.6]","(47.312, 3329.6]","(0.688, 5562.6]"
Levain Bakery,9241.0,83100.0,"(47.312, 3329.6]","(0.688, 5562.6]","(47.312, 3329.6]","(0.688, 5562.6]"
Levain Bakery,9241.0,83100.0,"(47.312, 3329.6]","(0.688, 5562.6]","(47.312, 3329.6]","(0.688, 5562.6]"
Crazy Good Kitchen,8559.0,31900.0,"(47.312, 3329.6]","(-0.001, 0.688]","(47.312, 3329.6]","(-0.001, 0.688]"
Crazy Good Kitchen,8559.0,31900.0,"(47.312, 3329.6]","(-0.001, 0.688]","(47.312, 3329.6]","(-0.001, 0.688]"
Crazy Good Kitchen,8559.0,31900.0,"(47.312, 3329.6]","(-0.001, 0.688]","(-0.001, 11.3]","(-0.001, 0.688]"
